Gaeilge,English
eagar,array
uath,auto
bris,break
cás,case
carachtar,char
tairiseach,const
lean,continue
réamhshocrú,default
déan,do
dúbailte,double
eile,else
cineál_scálach_áirithe,enum
seachtrach,extern
snámhphointe,float
do,for
dul_go,goto
má,if
iniaigh,include
slánuimhir,int
fada,long
príomh,main
cuir_i_gcló,printf
tabhall,register
cuir_ar_ais,return
scan,scanf
gearr,short
sínuimhir,signed
slánuimhir le_sín,signed int
slánuimhir fhada le_sín,signed long int
méid,sizeof
statach,static
caighdeán_ionchur_aschur.h,stdio.h
struchtúr,struct
lasc,switch
sainiú_cineál,typedef
aontas,union
slánuimhir gan_sín,unsigned int
slánuimhir fhada gan_sín,unsigned long int
folúntas,void
luaineach,volatile
nuair,while
